stationid,stationname,stationno,lat,lon,nearbusstcnt,nearbusstno,id
1952,"화정","일산선",37.634592,126.83265,24.0,"218515460,218513500,218512310,218512300,218511420,218511250,218511240,218500060,218500050,218001359,218001225,218001149,218001046,218001045,218000990,218000975,218000974,218000731,218000730,218000511,218000203,218000099,218000019,129000204",349
1951,"원당","일산선",37.653324,126.843041,10.0,"218512770,218511580,218001083,218001004,218000283,218000282,218000267,218000115,218000114,218000095",350
1950,"삼송","일산선",37.653083,126.895558,15.0,"218516560,218514040,218512910,218511870,218510130,218001280,218001200,218000627,218000365,218000364,218000286,218000284,218000223,218000218,218000090",351
1949,"지축","일산선",37.648025,126.9139435,6.0,"218513810,218511000,218001179,218001172,218001171,218000952",352
1948,"원흥","일산선",37.650658,126.872642,15.0,"218515960,218513850,218507240,218507230,218505840,218001334,218001265,218001183,218001052,218000702,218000698,218000697,218000696,218000695,218000331",353
1916,"소요산","경원선",37.9481,127.061034,6.0,"277102703,215000434,215000221,215000220,215000062,215000047",354
1915,"동두천","경원선",37.927878,127.05479,5.0,"277101810,215000263,215000260,215000053,215000033",355
1914,"보산","경원선",37.913702,127.057277,6.0,"215000245,215000152,215000058,215000057,215000029,215000028",356
1913,"동두천중앙","경원선",37.901885,127.056482,18.0,"215508650,215508560,215508250,215508240,215508160,215508150,215508140,215000413,215000412,215000408,215000407,215000362,215000124,215000088,215000087,215000082,215000046,215000004",357
1912,"지행","경원선",37.892334,127.055716,22.0,"215508660,215508230,215507440,215506820,215506810,215000416,215000411,215000398,215000385,215000384,215000383,215000374,215000370,215000201,215000170,215000169,215000168,215000070,215000042,215000037,215000036,215000007",358
1911,"덕정","경원선",37.843188,127.061277,4.0,"235506970,235000133,235000117,235000091",359
1910,"덕계","경원선",37.818486,127.056486,10.0,"277101699,235523130,235522940,235000925,235000924,235000923,235000592,235000568,235000383,235000107",360
1909,"양주","경원선",37.774381,127.044708,17.0,"235522470,235522460,235522450,235522440,235514290,235016150,235016149,235016148,235016147,235015803,235001649,235001648,235001647,235001646,235001315,235000245,235000242",361
1908,"녹양","경원선",37.75938,127.042292,15.0,"207509540,207000479,207000475,207000474,207000473,207000472,207000390,207000362,207000344,207000341,207000312,207000311,207000304,207000026,207000024",362
1907,"가능","경원선",37.748577,127.044213,14.0,"207509860,207509850,207000605,207000604,207000459,207000458,207000434,207000219,207000218,207000217,207000198,207000077,207000029,207000021",363
1906,"의정부","경원선",37.738415,127.045958,12.0,"277102662,207512660,207510780,207510770,207507680,207507670,207000408,207000309,207000269,207000266,207000151,207000120",364
1904,"망월사","경원선",37.709914,127.047455,12.0,"207512000,207511990,207511980,207511970,207511950,207000567,207000494,207000493,207000418,207000305,207000064,207000057",365
1902,"도봉","경원선",37.679563,127.045595,16.0,"109900155,109900151,109900150,109900070,109900065,109900051,109900034,109900030,109900014,109000072,109000071,109000026,109000025,109000024,109000006,109000005",366
1901,"방학","경원선",37.667503,127.044273,17.0,"109900121,109900119,109900118,109900087,109900015,109900013,109000208,109000051,109000050,109000049,109000048,109000030,109000029,109000020,109000019,109000010,109000009",367
1891,"인천","수인선",37.476241,126.6170635,10.0,"161000216,161000194,161000193,161000190,161000189,161000174,161000173,161000172,161000170,161000166",368
1890,"신포","수인선",37.46874,126.623853,9.0,"161000808,161000793,161000792,161000791,161000370,161000369,161000154,161000153,161000149",369
1889,"숭의","수인선",37.460789,126.638297,14.0,"163000561,163000479,163000276,163000273,163000206,163000198,163000197,163000195,163000194,161000799,161000797,161000555,161000135,161000133",370
1888,"인하대","수인선",37.448493,126.649619,14.0,"163000611,163000602,163000598,163000596,163000595,163000594,163000592,163000591,163000590,163000589,163000588,163000550,163000127,163000122",371
1886,"송도","수인선",37.428514,126.657772,0.0,,372
1885,"연수","수인선",37.417804,126.67894,15.0,"164000587,164000586,164000573,164000572,164000507,164000506,164000503,164000502,164000252,164000251,164000250,164000248,164000216,164000214,164000205",373
1883,"남동인더스파크","수인선",37.407722,126.695216,5.0,"165001048,165001041,165000085,165000076,165000074",374
1882,"호구포","수인선",37.401637,126.708627,13.0,"165001056,165001040,165000971,165000678,165000677,165000676,165000674,165000630,165000627,165000626,165000625,165000624,165000565",375
1881,"인천논현","수인선",37.400614,126.722478,11.0,"165001038,165001037,165001036,165001035,165000638,165000623,165000622,165000614,165000613,165000089,165000088",376
1880,"소래포구","수인선",37.40095,126.733522,20.0,"165001063,165000824,165000780,165000766,165000765,165000742,165000710,165000709,165000698,165000648,165000647,165000618,165000617,165000616,165000615,165000601,165000122,165000120,165000118,165000117",377
1879,"월곶","수인선",37.391769,126.742699,7.0,"224000920,224000867,224000866,224000448,224000122,224000098,224000093",378
1878,"달월","수인선",37.379681,126.745177,0.0,,379
1877,"사리","수인선",37.28998,126.85685,10.0,"216000747,216000355,216000334,216000309,216000245,216000214,216000209,216000168,216000167,216000136",380
1876,"야목","수인선",37.264179,126.879483,10.0,"233531380,233002530,233001274,233001273,233001061,233000537,233000532,233000265,233000174,233000173",381
1875,"어천","수인선",37.250102,126.90879,16.0,"233535850,233531270,233531260,233531250,233531240,233507350,233003009,233003008,233003007,233002529,233001833,233001276,233000844,233000842,233000180,233000179",382
1874,"오목천","수인선",37.24304,126.963676,4.0,"201000167,201000166,201000165,201000164",383
1873,"고색","수인선",37.24963,126.980248,3.0,"201000578,201000023,201000018",384
1872,"매교","분당선",37.265481,127.015678,13.0,"202508020,202000227,202000226,202000167,202000103,202000102,202000101,201510050,201000571,201000288,201000287,201000269,201000113",385
1871,"수원시청","분당선",37.261911,127.030736,8.0,"277102676,202000027,202000021,202000020,202000010,202000003,201000205,201000156",386
1870,"매탄권선","분당선",37.252759,127.040566,3.0,"203000102,203000101,201000204",387
1869,"망포","분당선",37.245795,127.057353,12.0,"274160370,203000358,203000346,203000345,203000245,203000150,203000146,203000140,203000132,203000124,203000015,203000009",388
1868,"영통","분당선",37.251568,127.071394,13.0,"203508900,203507910,203500040,203500030,203000410,203000408,203000407,203000354,203000156,203000136,203000135,203000074,203000018",389
1867,"청명","분당선",37.259489,127.078934,6.0,"203000363,203000122,203000121,203000106,203000076,203000075",390
1866,"상갈","분당선",37.26181,127.108847,6.0,"228002101,228002100,228000799,228000798,228000797,228000796",391
1864,"신갈","분당선",37.286102,127.111313,18.0,"242501290,242501280,242501270,242500970,242500960,242500900,228523810,228003209,228003208,228003207,228003179,228003178,228003172,228003080,228001785,228000823,228000820,228000805",392
1863,"구성","분당선",37.298969,127.105664,20.0,"242500760,242500750,228523240,228521050,228520500,228511920,228511820,228003158,228003157,228003075,228003047,228003046,228002985,228002984,228002113,228001381,228001134,228001133,228001094,228001093",393
1862,"죽전","분당선",37.324753,127.107395,9.0,"243501890,243501390,228508450,228003551,228003503,228002971,228001055,228001029,228001028",394
1861,"보정","분당선",37.312752,127.108196,15.0,"242500550,242500540,242500530,228514650,228514460,228506900,228003136,228003135,228002996,228002995,228002962,228001138,228001137,228001090,228001089",395
1860,"이매","분당선",37.395013,127.1280335,10.0,"206508610,206000762,206000688,206000687,206000227,206000103,206000079,206000054,206000053,206000027",396
1859,"오리","분당선",37.339824,127.108942,14.0,"277102558,277102470,274116820,206512790,206511320,206000898,206000709,206000514,206000460,206000405,206000215,206000170,206000091,206000040",397
1856,"수내","분당선",37.378455,127.114322,8.0,"206512140,206512130,206511920,206000840,206000839,206000818,206000296,206000278",398
1855,"서현","분당선",37.385126,127.123592,11.0,"206500040,206000755,206000645,206000618,206000436,206000435,206000299,206000250,206000102,206000080,206000026",399
1854,"야탑","분당선",37.411185,127.128715,18.0,"277101637,206511550,206511540,206511530,206000784,206000783,206000782,206000756,206000529,206000258,206000252,206000159,206000158,206000157,206000156,206000108,206000107,206000074",400
1852,"태평","분당선",37.440019,127.127709,21.0,"277104602,277104601,205507700,205505150,205007882,205007873,205000279,205000270,204508080,204507590,204000304,204000275,204000262,204000220,204000219,204000099,204000086,204000067,204000066,204000019,204000011",401
1851,"가천대","분당선",37.448605,127.126697,9.0,"277104607,277104606,204507660,204507560,204000259,204000110,204000092,204000091,204000021",402
1848,"압구정로데오","분당선",37.527381,127.040534,5.0,"122000730,122000729,122000058,122000057,122000056",403
1847,"서울숲","분당선",37.543617,127.044707,15.0,"103900265,103900264,103900263,103900250,103900249,103900248,103000511,103000164,103000163,103000085,103000080,103000079,103000078,103000077,103000076",404
1846,"수원","분당선",37.2661325,126.9994915,39.0,"277103689,277103688,277103125,277103123,274135516,274114747,202508200,202507470,202507430,202507410,202507400,202000262,202000225,202000219,202000208,202000182,202000123,202000120,202000119,202000106,202000105,202000088,201000598,201000597,201000596,201000595,201000594,201000593,201000592,201000591,201000590,201000589,201000588,201000587,201000309,201000300,201000299,201000286,201000272",405
1823,"도화","경인선",37.46607,126.668672,9.0,"163000674,163000628,163000406,163000404,163000403,163000399,163000397,163000392,163000390",406
1822,"중동","경인선",37.486562,126.764843,8.0,"211000099,211000006,210000547,210000368,210000282,210000259,210000224,210000099",407
1817,"도원","경인선",37.468446,126.642706,7.0,"162000179,162000178,162000170,162000169,162000166,162000015,162000011",408
1816,"간석","경인선",37.464737,126.694181,11.0,"165000835,165000834,165000807,165000806,165000418,165000416,165000387,165000370,165000368,165000341,163000428",409
